,Position,Track Name,Artist,Streams,URL,date
2,3,Blinding Lights,The Weeknd,32065431,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-07-05
3,4,Roses - Imanbek Remix,SAINt JHN,26839589,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-07-05
4,5,Watermelon Sugar,Harry Styles,26154801,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-07-05
5,6,How You Like That,BLACKPINK,21246346,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,2020-07-05
6,7,death bed (coffee for your head) (feat. beabadoobee),Powfu,20943981,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-07-05
7,8,Rain On Me (with Ariana Grande),Lady Gaga,20664494,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-07-05
8,9,Breaking Me,Topic,19348054,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020-07-05
9,10,Toosie Slide,Drake,19131669,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,2020-07-05
10,11,Dance Monkey,Tones And I,19003735,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-07-05
11,12,ily (i love you baby) (feat. Emilee),Surf Mesa,18112805,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,2020-07-05
12,13,Party Girl,StaySolidRocky,17728539,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,2020-07-05
13,14,Don't Start Now,Dua Lipa,17648641,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-07-05
14,15,Break My Heart,Dua Lipa,17259460,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-07-05
15,16,Blueberry Faygo,Lil Mosey,16655073,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,2020-07-05
16,17,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,16135711,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,2020-07-05
17,18,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,15991876,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-07-05
18,19,La Jeepeta - Remix,Nio Garcia,15746726,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,2020-07-05
19,20,MAMACITA,Black Eyed Peas,15370491,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,2020-07-05
20,21,Stuck with U (with Justin Bieber),Ariana Grande,15002923,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-07-05
21,22,Supalonely,BENEE,14702655,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,2020-07-05
22,23,The Box,Roddy Ricch,14152060,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-07-05
23,24,Someone You Loved,Lewis Capaldi,14025242,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-07-05
24,25,TKN (feat. Travis Scott),ROSALÍA,13839767,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7,2020-07-05
25,26,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,13542689,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,2020-07-05
26,27,THE SCOTTS,THE SCOTTS,13200042,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,2020-07-05
27,28,Relación,Sech,13191836,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ,2020-07-05
